ID,Player_Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots_On_Target,Conversion_percentage,Big_Chances_Missed,Hit_Woodwork,Offsides,Touches,Passes,Successful_Passes,Passes_Percentage,Crosses,Successful_Crosses,Crosses_Percentage,Final_Third_Passes,Successful_Final_Third_Passes,Final_Third_Passes_Percentage,Through_Balls,Carries,Progressive_Carries,Carries_Ended_with_Goal,Carries_Ended_with_Assist,Carries_Ended_with_Shot,Carries_Ended_with_Chance,Possession_Won,Dispossessed,Clean_Sheets,Clearances,Interceptions,Blocks,Tackles,Ground_Duels,Ground_Duels_Won,gDuels_Percentage,Aerial_Duels,Aerial_Duels_Won,Aerial_Duels_Percentage,Goals_Conceded,xG_Threat_Conceded,Own_Goals,Fouls,Yellow_Cards,Red_Cards,Saves,Saves_Percentage,Penalties_Saved,Clearances_Off_Line,Punches,High_Claims,Goals_Prevented,xG,npxG,xAG,Market_Value_In_Millions
68,Armando Broja,Everton,Albania,ST,10,331,0,0,4,0,0,0,0,3,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.9,12.000
9,Rayan Ait-Nouri,Wolverhampton Wanderers,Algeria,LB,37,3127,4,7,36,3,9,3,1,6,2315,743,657,88,18,1,6,194,152,78,4,121,53,0,1,0,2,66,47,0,66,13,5,89,56,27,48,33,24,73,0,0,0,0,5,1,0,0,0,0,0,0,0,2.7,2.7,5.5,35.000
326,Emiliano Martinez,Aston Villa,Argentina,GK,37,3195,0,0,0,0,0,0,0,0,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,3,0,0,0,0,0,0,45,46,0,2,5,1,100,69,1,0,3,56,1.2,0,0,0,20.000
70,Emiliano Buendia,Aston Villa,Argentina,AM,12,89,0,0,5,0,0,1,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1.7,1.7,0.7,15.000
471,Julio Soler,Bournemouth,Argentina,LB,3,9,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,3.9,5.1,8.000
456,Marcos Senesi,Bournemouth,Argentina,CB,17,1108,0,0,3,16,17,2,0,0,918,446,350,79,34,10,29,223,161,72,9,159,104,1,0,17,7,38,6,1,58,5,0,39,108,45,42,21,6,29,0,0,0,22,5,0,0,0,0,0,0,0,0,10.7,10.7,8.5,22.000
175,Enzo Fernandez,Chelsea,Argentina,CM,36,2946,6,7,53,60,20,4,0,2,2327,375,253,68,3,1,33,196,125,64,1,101,45,6,1,13,4,34,28,7,20,5,1,65,111,37,33,108,57,53,0,0,0,52,8,0,0,0,0,0,0,0,0,0,0,0,75.000
13,Carlos Alcaraz,Everton,Argentina,CM,16,770,2,3,27,0,0,1,0,1,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,11,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,14.000
72,Facundo Buonanotte,Leicester City,Argentina,AM,31,1513,5,2,36,3,10,2,1,3,988,1104,1003,91,4,0,0,215,179,83,7,223,108,0,0,1,3,83,39,0,12,32,9,53,190,96,51,34,17,50,0,0,0,37,8,0,0,0,0,0,0,0,0,2.5,2.5,1.9,20.000
311,Alexis Mac Allister,Liverpool,Argentina,CM,35,2607,5,5,38,17,17,2,2,2,1954,854,734,86,15,9,60,363,295,81,3,377,209,2,3,17,22,109,22,9,0,11,2,95,218,107,49,25,10,40,0,0,0,62,6,0,0,0,0,0,0,0,0,0,0,0.1,100.000
